searchTerm,year,results,errmsg,url
nuclear,2020,214038,,https://www.base-search.net/Search/Results?type=all&lookfor=nuclear+year%3A2020&ling=0&oaboost=1&name=&thes=&refid=dcresde&newsearch=1
nuclear,2021,218386,,https://www.base-search.net/Search/Results?type=all&lookfor=nuclear+year%3A2021&ling=0&oaboost=1&name=&thes=&refid=dcresde&newsearch=1
nuclear,2022,194587,,https://www.base-search.net/Search/Results?type=all&lookfor=nuclear+year%3A2022&ling=0&oaboost=1&name=&thes=&refid=dcresde&newsearch=1
nuclear,2023,55474,,https://www.base-search.net/Search/Results?type=all&lookfor=nuclear+year%3A2023&ling=0&oaboost=1&name=&thes=&refid=dcresde&newsearch=1
